sampleID,cell.subset,marker,HR-12-V1,HR-12-V2,HR-12-V3,HR-14-V1,HR-14-V2,HR-14-V3,HR-16-V1,HR-16-V2,HR-16-V3,HR-19-V1,HR-19-V2,HR-19-V3,HR-20-V1,HR-20-V2,HR-20-V3,HR-21-V1,HR-21-V2,HR-21-V3,HR-22-V1,HR-22-V2,HR-22-V3,HR-23-V1,HR-23-V2,HR-23-V3,HR-24-V1,HR-24-V2,HR-24-V3,HR-26-V1,HR-26-V2,HR-26-V3,HR-27-V1,HR-27-V2,HR-27-V3,HR-28-V1,HR-28-V2,HR-28-V3,HR-29-V1,HR-29-V2,HR-29-V3,HR-30-V1,HR-30-V2,HR-30-V3,HR-31-V1,HR-31-V2,HR-31-V3,HR-32-V1,HR-32-V2,HR-32-V3,HR-33-V1,HR-33-V2,HR-33-V3,HR-35-V1,HR-35-V2,HR-35-V3,HR-36-V1,HR-36-V2,HR-36-V3,HR-37-V1,HR-37-V2,HR-37-V3,HR-38-V1,HR-38-V2,HR-38-V3,HR-39-V1,HR-39-V2,HR-39-V3,HR-40-V1,HR-40-V2,HR-40-V3,HR-42-V1,HR-42-V2,HR-42-V3,HR-44-V1,HR-44-V2,HR-44-V3,HR-46-V1,HR-46-V2,HR-46-V3,HR-47-V1,HR-47-V2,HR-47-V3,HR-48-V1,HR-48-V2,HR-48-V3
Remicade.non-classical.monocytes,non-classical.monocytes,Remicade,2.463313341,2.798349857,3.081842184,4.55347681,3.116611958,4.139719009,3.670413017,4.755413055,4.361127853,2.037276268,3.814586878,3.671942115,2.43072331,1.595341563,3.453177094,2.705082893,2.678623915,2.477407694,2.600342989,2.245438814,2.624396682,5.045032501,3.152810812,3.201703072,3.975564361,3.695569754,3.797795415,2.213175058,2.975614429,5.050710678,3.84840703,3.532306194,2.802782774,4.6834445,2.959903002,3.000398636,2.59455514,4.996491432,3.522116184,3.114591956,2.315332174,2.973871112,3.843067884,2.86785078,3.042307138,5.031114578,2.92436862,4.22766304,4.410682201,5.651889324,6.20608902,4.757378578,11.55932331,3.693230152,6.536037445,3.903512716,5.387218952,2.498611569,6.628646851,7.601045609,7.400513172,8.881697655,7.302489996,3.797054172,4.532129288,3.53553319,2.26354599,3.94099164,3.95973444,1.555704117,3.927266002,3.317352653,5.370568752,6.441235542,7.184651136,5.215835094,4.051506519,4.111176968,4.53177762,5.787153721,4.032268524,5.339721918,11.20058918,7.62898016
IntegrinB7.non-classical.monocytes,non-classical.monocytes,IntegrinB7,1.469031692,1.683698535,2.44986248,2.551971674,2.064291477,1.486200154,2.063494444,2.790503144,3.513867378,1.700072765,1.630348206,1.456445217,1.522747457,1.183997452,1.787660658,1.488861203,1.533928633,1.716163516,2.436328888,2.152851582,2.329570651,2.205894828,3.049059629,3.210245967,3.165629148,2.543499947,2.222370863,1.476814508,2.894437194,2.113912106,2.561695218,2.351365805,2.541692972,2.335400105,2.535237551,2.588408828,3.141969204,2.922938943,3.233081341,2.83699286,2.261286139,3.045477271,4.409116983,2.899405718,2.713557005,3.685238123,2.767055988,3.188419461,3.41179347,3.41900897,4.267096996,4.044152737,4.378199339,3.776506424,3.695749044,3.60233736,3.860180616,4.841349125,3.828077316,4.065108776,4.833190441,4.461650372,4.537036657,3.086922526,3.646394491,2.285181046,2.96793294,3.622810364,3.834203959,2.703625441,3.404145718,3.013756871,4.520388603,3.950315237,5.128854275,4.726356506,4.183032513,4.625059605,3.382780313,4.469433784,3.533435464,4.926006794,5.375795364,5.18426609
Humira.non-classical.monocytes,non-classical.monocytes,Humira,3.389059067,3.641794443,4.117702007,5.089744568,5.445786476,4.306853056,4.152542114,5.550550699,5.577444911,3.67944026,4.47061944,3.475555062,3.300428867,2.382634163,3.734104395,3.911343098,4.435723782,4.499867439,4.141402721,4.959781647,4.854798317,3.149097323,6.774746895,6.964486837,5.181469679,5.808264256,4.988824368,4.804719448,3.759908915,6.214716911,6.317718506,4.517045975,4.373710394,5.659243584,4.875173807,4.933129787,5.764586926,5.237052441,6.326256752,5.27456665,4.269710779,4.658794641,6.769235849,5.352701426,5.547606468,7.294556141,5.20292902,6.582086086,6.438623905,6.267951965,7.688803196,7.534185648,9.429456711,5.863993645,6.238972425,5.977311611,7.724201918,5.197022676,5.699408531,7.33236742,9.029975891,7.645773172,8.052544117,6.399608374,7.378023624,5.230370998,4.297884464,6.177755356,5.888101339,4.99337244,6.099205494,5.840223312,9.065511703,8.064126015,9.598480701,7.563474178,7.179989338,7.694499016,7.238222361,8.53793335,7.895793676,7.67598772,10.49936771,10.03887272
CCR9.non-classical.monocytes,non-classical.monocytes,CCR9,6.351576328,6.26465559,7.630323887,9.792601585,7.275914669,10.49460268,8.239923477,10.44335556,10.59479237,7.560635567,9.153203964,10.28920078,6.97776556,5.773257732,7.749742031,7.638045311,8.253549576,10.57202435,6.571465492,7.875812054,7.428617716,9.261933327,9.145731926,8.644578934,9.345902443,8.31067276,8.926130772,6.250509262,9.105951786,8.963366508,9.562729836,8.801569939,7.146387815,9.633198738,7.405779123,8.872178078,8.307634354,7.317049026,9.318317413,10.29231548,11.78119421,10.87189245,8.789248943,7.180408955,7.357100964,8.964630127,6.62399745,9.91682148,9.830348969,7.60417223,9.529231071,10.29794693,11.70189333,7.293544292,8.831141472,7.777987003,9.710231781,6.761101961,9.633987427,10.68467999,10.63335323,11.0445714,9.709311008,6.595402002,7.550527573,6.202250957,7.29028368,9.103003502,7.308027744,6.635919571,10.73604298,7.827028275,9.03736496,8.279278755,10.17705488,8.121892929,7.44570446,6.542280674,7.825968266,12.80319405,11.3643012,7.896912336,11.67927837,11.70466137
Remicade.classical.monocytes,classical.monocytes,Remicade,3.915533781,4.362421989,3.781157494,4.450122356,4.095821857,4.545627594,3.832398415,3.897864223,3.824371815,3.267450094,5.219650984,5.256933689,3.782123089,3.548744917,4.419512033,2.883789182,3.309101582,2.976311207,2.970995426,2.994793653,2.868498564,4.175825119,3.191457033,3.295494318,4.355770111,4.201812744,4.76927948,3.130097389,3.589473963,4.491645813,4.440751553,4.264139652,3.830210447,4.144095421,3.424231172,3.360152364,3.362354994,4.532563925,3.826943159,4.915323496,4.311425209,4.580401659,4.723010778,3.643381476,3.602191925,6.006531,3.425442219,4.150654316,5.726727962,6.576311111,6.18898201,4.986311913,11.30411148,3.955197573,8.270212173,5.168417454,6.144693851,4.413815022,8.377146721,8.273450851,7.654236794,8.728317738,7.116782665,4.511000633,5.550182343,3.987650871,4.106708527,5.375400066,4.663763046,2.958917141,4.90195775,3.771426916,5.48169136,6.412980318,7.029531479,4.967903376,4.475432873,4.692829132,4.745316505,5.938919544,4.270327568,7.294391632,11.04419613,8.293282986
IntegrinB7.classical.monocytes,classical.monocytes,IntegrinB7,2.308631182,2.497707844,2.329434156,2.746829748,3.010359526,1.833649755,3.094607353,3.361976862,3.218892336,2.661414385,2.729165435,2.538897038,2.353140116,2.321967125,2.161383748,1.900065005,2.08206296,1.830385864,2.513769507,2.512398005,2.848595619,3.009752035,3.966811657,3.60966444,3.502842426,3.621520162,3.542078257,2.72458601,2.349704504,3.004763007,3.396288991,3.214434147,2.649404407,3.225692391,2.762708783,3.002101183,3.80725646,4.570298433,3.948062062,3.627326727,3.529742599,4.814524412,5.396171331,3.653030157,4.238063335,5.391645908,4.50586462,5.044734955,5.529057503,5.482068777,6.258899212,4.431432247,4.859717846,4.086371422,4.58397913,4.619551182,3.576086283,4.751614809,4.809558868,4.278615475,5.546869755,4.879491806,5.328585625,4.485702991,5.264172077,3.887989163,4.134235859,4.604066372,4.840095997,3.970244527,4.381747961,4.129558563,4.807322025,4.683471203,5.198891163,4.274353266,3.928126812,3.558833241,4.344994068,5.08387351,5.140042782,5.850309134,6.579838753,6.116858482
Humira.classical.monocytes,classical.monocytes,Humira,4.57111454,4.984880924,4.762134552,5.349843025,5.463701725,4.55950737,5.666743755,5.82489419,5.673177719,4.113062382,5.138354063,4.288250923,5.192968845,4.940205097,5.012074471,3.874814749,4.495198727,3.824134469,4.808914423,5.070566177,5.312739372,5.600483418,5.427103519,6.452612162,6.81198144,6.272912979,6.40093565,5.289782524,4.674118042,5.439172506,6.273849726,6.168496609,4.985692739,5.327410698,4.798192263,5.295651436,6.364460945,7.317971706,6.580549955,6.565482855,5.760137796,6.997592926,9.407475948,6.757156372,7.197383404,8.022172928,6.295406342,7.099637508,8.389527321,8.380124569,8.93743372,7.435633659,8.808763504,7.050959587,8.038350105,7.507057667,6.889491081,8.414937019,8.006215096,8.28260088,8.433118343,7.533792496,7.678267002,7.106328964,7.67380619,6.072754145,7.074723721,7.055583477,7.15089941,6.059130669,7.307516575,6.455625534,8.484414101,8.571985722,9.517834663,8.166770935,7.429358482,7.412573576,7.527150154,8.851280212,8.047000885,10.09143639,10.67765045,10.08196926
CCR9.classical.monocytes,classical.monocytes,CCR9,4.897839069,4.966582298,6.750440121,7.003882885,5.498351097,5.173658371,7.161854744,7.291984081,7.649708748,5.935635567,5.095846176,6.427690983,5.529794216,5.086607695,5.432807446,4.695694685,4.855810642,5.639797688,3.975530624,4.636273384,4.83374548,6.957392693,5.278774261,5.808720589,6.306722879,5.837718725,6.304719448,5.536803246,5.832671165,5.70510745,5.864663601,5.431093216,4.804049015,6.688554049,5.318085194,5.646630526,5.872155666,5.706258774,5.315713644,6.793324232,7.76330471,6.247469902,5.755485058,4.428991556,4.17685318,6.103315592,4.319848537,5.306229591,5.760568619,5.389213324,5.664345741,5.697462559,7.224937439,3.622344017,6.300278187,4.508939743,5.225130081,6.434297323,6.358994007,5.402342081,6.089152336,6.333520174,6.091112614,4.893958092,5.707145214,4.286268234,5.374811649,5.311561108,4.263179779,4.823879719,5.931408167,5.338959932,5.006533623,4.912006617,5.547233582,5.468536854,4.722249031,4.435660362,6.161027431,7.591510057,6.85097456,6.937773228,7.880626202,8.076488495
Remicade.intermediate.monocytes,intermediate.monocytes,Remicade,4.073069096,4.532744884,4.160174847,4.832439423,4.602945328,5.268993378,4.828451157,4.561931849,4.131250381,3.206556797,6.060730934,5.707276344,4.919090748,3.421464205,5.248701572,3.176091671,3.828853607,3.335979462,3.579607964,3.181484222,2.872035265,6.059747934,4.559783936,3.804686069,4.960305452,4.718117952,5.32643199,3.510728955,5.355815887,4.763809681,4.582634926,4.502419949,4.256455421,5.00540638,3.531124473,3.560056448,4.323904037,6.610091686,5.283839941,6.343663216,6.494259357,6.629150867,5.834414244,4.063035011,4.385192871,8.660720825,4.375452518,5.059012413,7.035676479,7.74740839,8.421480179,6.658426285,17.11933231,5.499332905,13.22071362,6.826823711,8.215475559,5.385143757,12.5794816,13.020895,10.03025055,12.20492411,8.888355255,5.635658503,10.3008461,4.594898462,5.363462925,7.623548508,5.626282692,3.912442446,8.198568344,5.112904787,8.367943764,8.859071732,10.88563347,7.00575304,5.713396549,7.47213912,6.833944798,7.712577105,5.367538452,10.27707005,17.61284733,10.95320415
IntegrinB7.intermediate.monocytes,intermediate.monocytes,IntegrinB7,2.963816166,2.964804173,3.279962897,2.746603966,3.650730371,2.585403681,3.121216536,3.304451823,3.21723485,2.746995926,3.127640724,2.743405342,2.643157005,2.969290972,2.755150557,3.244054317,2.757575274,2.90046525,2.827918053,3.274490595,3.77361989,3.976491928,4.979693651,4.910450459,4.058461905,4.035238743,4.581210613,2.166580677,2.587123871,3.39760983,3.864111185,3.730345488,3.632879972,4.461288929,3.191323876,3.999906659,4.883485794,6.318776131,5.37239337,5.216638088,5.073847771,6.352507114,6.274016619,4.526203156,5.143814087,7.080881596,5.669397593,5.564561844,7.252642155,7.161174297,8.022159576,7.051029682,8.098245621,6.153209686,6.538557053,5.650160313,4.948374271,6.242161751,6.902215719,5.96955061,7.234258652,7.688328266,7.486919403,5.076791048,7.253020287,5.125948429,4.71189642,5.753906727,5.882850647,5.557254791,6.512132645,5.815270185,6.365689754,7.261429548,7.277730942,6.117276907,5.444182873,5.545970678,5.173300266,6.641596079,5.617791891,7.756269932,9.012799263,8.719568253
Humira.intermediate.monocytes,intermediate.monocytes,Humira,5.023659706,5.667752743,6.098656893,5.456188202,6.663939714,5.628018856,5.931184292,6.031678438,5.476933956,5.088119745,6.255679607,5.52132082,5.860452175,5.966402531,5.596579075,4.880671978,5.526824474,4.954167366,5.90615797,6.513379574,6.453862667,7.091387987,7.670917511,8.189182281,7.448157549,7.329833031,7.404646158,6.028070927,5.525891304,5.134738684,7.316222668,6.369591713,6.201086998,5.729346752,6.03858614,6.35282445,8.140375137,9.912887573,8.893238544,8.380913734,8.214707375,9.776202202,10.84829521,8.033416748,8.847586632,11.51716042,7.988071918,9.228850365,9.44361496,9.608866215,10.87725925,10.11506081,13.50459957,9.669965744,10.78582764,9.354494095,8.835815907,9.53166008,10.62701035,11.92903519,10.93272686,11.20511007,9.896811485,8.632268429,11.49609184,7.772641182,8.199754715,10.75898266,7.668818951,8.250021935,11.1592989,9.860699654,11.55677128,11.71542454,13.7165947,11.15256023,9.389130116,9.800935268,9.82392025,11.86974192,10.3049159,12.9507246,15.90866327,14.67278957
CCR9.intermediate.monocytes,intermediate.monocytes,CCR9,6.14973259,5.977750301,8.283713341,8.371556282,6.777003527,6.623151779,8.207420349,7.154096127,7.568293095,7.441327095,6.924525738,10.66845989,5.921851635,6.182844162,7.83423996,5.106622219,7.849388123,9.142256737,5.36286211,6.839179516,6.658229828,10.11157179,6.831512451,8.212346077,7.960017204,7.799560785,8.723937988,8.288999557,7.147943974,6.559869528,7.315228939,5.846795082,6.344403267,8.299506664,7.748569489,7.130135059,7.022334576,8.191519737,8.777993202,9.838549137,10.50113964,9.206519127,6.67789793,5.9705019,6.337686539,8.94570446,6.560444832,8.961364746,6.093901157,6.744154692,7.844328403,7.271692276,10.46886301,5.777424335,7.960148335,6.245528221,6.555696249,6.967991829,7.904478788,7.588552952,9.10100174,10.24994755,8.822050095,6.388863087,8.499243736,6.155959606,5.782340527,8.241709232,7.489435196,6.262044907,9.379362106,7.643130064,7.63355875,7.568584204,8.141811371,7.549748898,6.10929656,6.030041218,7.681279182,11.40095568,9.984882832,9.442809582,12.05059958,11.48880005
